0.00000, 0.00000
0.03015, 0.00990
0.05111, 0.03763
0.05522, 0.07755
0.03769, 0.12121
-0.00252, 0.15865
-0.06227, 0.17993
-0.13453, 0.17676
-0.20910, 0.14396
-0.27403, 0.08046
-0.31717, -0.01007
-0.32801, -0.11939
-0.29933, -0.23539
-0.22851, -0.34346
-0.11839, -0.42820
0.02265, -0.47546
0.18120, -0.47430
0.34016, -0.41870
0.48052, -0.30881
0.58361, -0.15143
0.63339, 0.04025
0.61866, 0.24768
0.53480, 0.44875
0.38480, 0.62018
0.17955, 0.74013
-0.06287, 0.79084
-0.31876, 0.76100
-0.56108, 0.64752
-0.76235, 0.45642
-0.89765, 0.20274
-0.94769, -0.09049
-0.90120, -0.39441
-0.75679, -0.67708
-0.52360, -0.90690
-0.22097, -1.05606
0.12310, -1.10382
0.47457, -1.03916
0.79666, -0.86251
1.05374, -0.58629
1.21523, -0.23422
1.25912, 0.16069
1.17476, 0.55919
0.96459, 0.91974
0.64443, 1.20277
0.24246, 1.37505
-0.20323, 1.41346
-0.64822, 1.30791
-1.04622, 1.06296
-1.35387, 0.69797
-1.53540, 0.24568
-1.56673, -0.25069
-1.43849, -0.74159
-1.15752, -1.17604
-0.74686, -1.50694
-0.24387, -1.69615
0.30307, -1.71881
0.83926, -1.56640
1.30909, -1.24821
1.66186, -0.79105
1.85720, -0.23701
1.86959, 0.36033
1.69154, 0.94115
1.33494, 1.44528
0.83050, 1.81853
0.22510, 2.01841
-0.42245, 2.01894
-1.04720, 1.81380
-1.58453, 1.41764
-1.97684, 0.86515
-2.17968, 0.20813
-2.16675, -0.48938
-1.93309, -1.15735
-1.49622, -1.72673
-0.89498, -2.13666
-0.18610, -2.34088
0.56110, -2.31291
1.27152, -2.04931
1.87180, -1.57063
2.29789, -0.91994
2.50188, -0.15900
2.45729, 0.63758
2.16235, 1.38966
1.64078, 2.01963
0.93999, 2.46042
0.12683, 2.66257
-0.71877, 2.59980
-1.51168, 2.27213
-2.17013, 1.70661
-2.62412, 0.95510
-2.82284, 0.08961
-2.74031, -0.80463
-2.37855, -1.63751
-1.76805, -2.32319
-0.96524, -2.78888
-0.04733, -2.98255
0.89511, -2.87871
1.76708, -2.48152
2.47872, -1.82505
2.95459, -0.97038
3.14159, -0.00000
